ticker,expected_return,risk
MMM,0.0403944585103493,4.08664495146885
AOS,0.023046637378394,0.786478778538359
ABT,0.0194179378942281,0.334848871185766
ABBV,0.0464198308861492,4.24783328284914
ADM,0.0183300844857732,0.432611359746231
ADP,0.0216377736635645,3.62401348941535
A,0.00744515524186662,-1.45882633758075
APD,0.0291372502282172,2.58923503484418
ALB,0.00629447343744993,0.122933958750847
ALLE,0.0190038292557022,0.914466664817537
LNT,0.0279731703085635,4.49467866535174
MO,0.0671879524466306,7.28431196968304
AEE,0.0248721211774785,5.08802584096702
AEP,0.0315225892051825,4.8060609149934
AMT,0.0272080515707083,8.26527429401962
AWK,0.0189740245363661,6.02009340051616
ABC,0.0126183613369109,0.799815136732317
AME,0.00968782396039036,-0.316082398927407
AMGN,0.0339981551045339,4.97802303880559
APH,0.0140052643321327,-1.28659585270593
ADI,0.0215475850636582,1.64487524932093
AON,0.00869843622606381,-0.241527263883822
AAPL,0.00699520423123845,-0.249457361705065
AMAT,0.0116541108076786,-2.24269306077694
T,0.0668963910016049,6.1863164041868
ATO,0.0256396161183978,1.42031993926379
AVB,0.0304822907189448,6.87837756065227
AVY,0.0186862602096387,1.14897443620078
BAX,0.019696369892118,-3.12878091169123
BDX,0.0143405155700072,3.60118493401335
BBY,0.0487626798272529,4.70560920484898
TECH,0.00329051492233368,-4.08126281954883
BWA,0.013442132746333,0.111570349143368
BXP,0.0357531522329624,-4.53508207441234
BMY,0.0290297702626581,6.92358656562309
BR,0.021411161579759,1.88421486604362
BRO,0.00778695066746171,-1.71369682205132
CHRW,0.0256265209226381,-0.247122187339488
CPT,0.0234261383050736,-7.33455342824225
CAH,0.0329223199303219,-1.31600232866056
CAT,0.0227723818073271,1.59452856008955
CBOE,0.0198803709317703,2.97110176855536
CE,0.0212751617385756,-1.17972432899569
CF,0.0133379101018809,-2.47178705693622
CVX,0.0324623327916125,1.83406627654908
CHD,0.0126536728695303,2.15293119651489
CSCO,0.0338019277049668,2.38890688126933
C,0.0505553939215302,-2.16774066107617
CLX,0.0340196313369177,8.48528187665532
CME,0.0383310275485029,4.19752727337209
CMS,0.0272232803738424,2.15190605561835
CL,0.0233209363169957,5.14183860328774
CMCSA,0.028393549127139,1.71544903843933
CAG,0.0380478000230731,5.75454783635854
COP,0.0283690610586613,-1.30505612448728
ED,0.0314227232101765,2.95830948239632
STZ,0.0159572230136595,1.96317910528661
GLW,0.0316916530813454,1.59528213625099
CCI,0.0326283022115021,-1.01452461963151
CSX,0.0179096718238663,-0.206242978401166
CMI,0.030398209656977,2.32076333369002
CVS,0.0213170413343386,1.70013745622674
DHR,0.0045396208339048,-1.64802061669576
DRI,0.0428309369673321,4.63235994776684
DE,0.0138704506901526,-2.30031389929734
XRAY,0.012859343461155,1.41525473758782
DG,0.00967842311255973,0.78421695110667
DOV,0.0151925788572298,0.981130452802228
DTE,0.0312405080439997,1.69325467599579
DRE,0.0230801998779939,0.239375664619739
EMN,0.0293662556274052,0.374824360351119
ETN,0.0243414168226752,4.5172178265431
ECL,0.0132703962138536,6.93022226586065
EIX,0.0421853736752795,-0.679667028643152
EMR,0.0227869433866017,1.63792852458438
ETR,0.0327164282735839,6.42480310671704
EFX,0.00745893744761106,1.1687779495901
EQIX,0.0199612326360161,-3.2500088583535
EQR,0.0314386757028442,0.0610419328249181
ESS,0.0307862950813838,-1.81524120178053
EL,0.0114731257508629,0.981786897900438
EVRG,0.0356129607134223,-0.466726036671266
ES,0.0280001434126957,3.94073482292883
EXC,0.0237144418120281,3.97874180786193
EXR,0.0343211541940287,9.61928698945411
XOM,0.0358952167995497,5.05070034358504
FDS,0.010375414772857,-4.31610821381531
FAST,0.0273573267631915,0.795882714685741
FDX,0.017349866988347,-0.878395153784049
